target_contact,channel_contact,rmse_keV,normalized_rmse,edge_rmse_keV,edge_normalized_rmse,correlation
1,1,15.891832305765371,0.01195910566896254,2.9309133986040514,0.009305035379973542,0.9996329812378258
1,2,2.4799696648767995,0.09193033849599065,1.6879013666739395,0.15044373743777656,0.9644786947933957
1,3,1.78241676135883,0.09889769355664897,0.474443250115971,0.0474443250115971,0.9562115187145342
1,4,2.7246165410150707,0.05857643862352075,1.9842170418941154,0.07317100920656326,0.986047527906241
1,5,1.6801622805658492,0.11831817246568067,0.6413049113831966,0.06413049113831966,0.9431015542656914
1,6,0.48910572025803195,0.029170297634291697,0.4152534557259432,0.03465934924368462,0.9958737626982161
1,7,2.488261674324747,0.07776086541012875,1.0574082336556634,0.06154335274936397,0.9717472524839248
1,8,0.4311886168023649,0.03652577887954406,0.48495867172842266,0.048495867172842266,0.9938973862825595
1,9,34.20022195541509,0.025728610659567365,20.02842247563464,0.04906214060293985,0.998310521600281
2,1,0.94780954495967,0.04091877170846669,0.4566031772313676,0.022311843783865682,0.9921315364205777
2,2,13.632865044384815,0.010263397948981852,10.823864407963178,0.03198380300582519,0.9997322462695771
2,3,0.8362141544240891,0.06584267649043768,0.6020025848853524,0.06020025848853524,0.9829944075760672
2,4,0.7231304715493418,0.07231304715493418,0.31393650822769426,0.031393650822769424,0.9662885909078144
2,5,0.49858011604305347,0.0265193310639467,0.2652065800074397,0.02055055697013962,0.9967021023374067
2,6,0.5268132844776331,0.05196705479853377,0.3869292192874072,0.03869292192874072,0.9837589735214937
2,7,1.7418678831104981,0.04972746222220644,0.3314595197510128,0.01779268680481755,0.9889068961446619
2,8,1.1242335898592173,0.044125479980710244,0.487072689199066,0.03350093298808974,0.9915277263943544
2,9,43.53827195755981,0.0327942428419316,20.709495546736935,0.06359140703453144,0.9973433662572935
3,1,0.6470675862709799,0.043988292864488646,0.48163911818136024,0.04278280078706309,0.9917257706466313
3,2,1.6090987556192837,0.04621941853837257,1.9449982732305007,0.07352665975437095,0.9884802715105772
3,3,12.611900637749386,0.009488338193482692,10.183573107998035,0.03194851432060592,0.9997576763889746
3,4,1.7385873541478314,0.03354647871877064,1.5996926759520105,0.04047388501883256,0.9949058708180725
3,5,0.5209471308578959,0.03727104317915418,0.4756507102631692,0.04756507102631692,0.9937367831397226
3,6,0.6017758908382855,0.025098150321459844,0.42163171342639605,0.02441990572607083,0.9971121778976515
3,7,2.3909805611567014,0.05109787280177142,0.48617799127045963,0.016200792213007704,0.9893083694094924
3,8,1.5939422645519348,0.05155659858119562,0.5536994782435711,0.03206838993177337,0.9879736285324036
3,9,17.82034114675274,0.01344354831358141,6.762993162657633,0.02564110298714673,0.999516308315047
4,1,0.8571828862942558,0.08571828862942557,0.44593431820533624,0.04459343182053362,0.9450455351052975
4,2,0.8096347407158357,0.08096347407158358,0.27632154603340303,0.027632154603340304,0.9407967014961018
4,3,0.8431457663983926,0.04315670416049415,0.4531195450803011,0.03194728997745352,0.9934422958571896
4,4,14.45650026481371,0.010882399344625664,11.537472225343206,0.033094539511493805,0.9996845128725316
4,5,1.136205873764517,0.056287651628876216,0.4217011151732971,0.03234870752002309,0.9850254812078783
4,6,0.9973438744164449,0.050005239567279286,0.3144402863738865,0.025977831277221735,0.9884820683175296
4,7,2.9772052937954205,0.0798920573492682,0.5103965041242334,0.024339969562155724,0.9717418792094248
4,8,1.1041543813223302,0.04364492657831723,0.4467522036993102,0.02318546770364606,0.991252836345215
4,9,22.92718706998168,0.01727121971164742,5.179468089342038,0.016647622094579054,0.999266402478671
5,1,1.5685595917948931,0.1085805968760686,0.5032524547823336,0.05032524547823336,0.961764977348814
5,2,0.3428054231354372,0.03428054231354372,0.18248803626506263,0.018248803626506264,0.9574942570465301
5,3,0.6665627119358394,0.06665627119358394,0.2854735075579591,0.028547350755795908,0.968886065070144
5,4,0.23403365039293408,0.023403365039293408,0.23278358974185906,0.023278358974185905,0.9741204231056926
5,5,10.508010214472154,0.007911580336405268,10.244569685552152,0.033979755749171565,0.9998339219725769
5,6,2.7334405668745485,0.10558651204269778,0.7057172999619564,0.03514486202536646,0.9507164918575802
5,7,2.489982700731153,0.07963351686646224,0.9544259999064678,0.059572685746588215,0.9718157857455045
5,8,1.1510536710220025,0.11361680240206036,0.5200771919028107,0.05200771919028106,0.9558075112008051
5,9,20.859463863612312,0.01570960688524906,29.05483685782725,0.08955536812854333,0.9994286492804701
