receiver_contact,source_contact,value,unit
1,1,1.0417398167739205,dimensionless
1,2,0.004225157127046069,dimensionless
1,3,0.0021011659490021723,dimensionless
1,4,0.0019544136011996572,dimensionless
1,5,0.0025811770230439344,dimensionless
1,6,-0.0030763899574999653,dimensionless
1,7,-0.0036959635562652873,dimensionless
1,8,-0.004160578273525188,dimensionless
1,9,-0.0008914515037509224,dimensionless
2,1,0.005900240463129129,dimensionless
2,2,1.0360183541978822,dimensionless
2,3,-0.000859733114541109,dimensionless
2,4,0.0015829920276564599,dimensionless
2,5,-0.0014786038375279222,dimensionless
2,6,-0.0018408076286804942,dimensionless
2,7,-0.004786241201647913,dimensionless
2,8,-0.004451910138951635,dimensionless
2,9,0.0020856200605662463,dimensionless
3,1,0.0013630434399663296,dimensionless
3,2,0.00011113419974312091,dimensionless
3,3,1.024429990753379,dimensionless
3,4,0.001543736051654392,dimensionless
3,5,-0.0030634624674900804,dimensionless
3,6,-0.0035065191512580196,dimensionless
3,7,-0.0021778247033409346,dimensionless
3,8,-0.005882383417750623,dimensionless
3,9,0.004788247096149121,dimensionless
4,1,0.0017779307309013915,dimensionless
4,2,0.0009531116909006123,dimensionless
4,3,0.0029476439790777583,dimensionless
4,4,1.021070584992254,dimensionless
4,5,-0.0020975545556431562,dimensionless
4,6,-0.00398891064887197,dimensionless
4,7,-0.00572899258799923,dimensionless
4,8,0.0006920908620498694,dimensionless
4,9,0.0022145815880467066,dimensionless
5,1,0.0024891671879984055,dimensionless
5,2,-0.0014684698686724318,dimensionless
5,3,-0.001107549882743453,dimensionless
5,4,-0.002111721088542614,dimensionless
5,5,1.0244183188706188,dimensionless
5,6,0.001690744232883098,dimensionless
5,7,-0.0035927027385638773,dimensionless
5,8,0.005271509905239491,dimensionless
5,9,-0.0038218490098125366,dimensionless
6,1,-0.0004629631107920881,dimensionless
6,2,0.0004271398371223826,dimensionless
6,3,-0.00016794173368218414,dimensionless
6,4,-0.0027787494672929253,dimensionless
6,5,4.4950731311134413e-5,dimensionless
6,6,1.0162567433828862,dimensionless
6,7,0.00016185591628931897,dimensionless
6,8,-0.003632325466003724,dimensionless
6,9,-0.0026718332939484274,dimensionless
7,1,-0.002110452773639306,dimensionless
7,2,0.0014675728559327625,dimensionless
7,3,0.0014087418289559855,dimensionless
7,4,-0.0004604618276666786,dimensionless
7,5,-0.0034071313659042486,dimensionless
7,6,0.0007980810994976333,dimensionless
7,7,1.0275354656629003,dimensionless
7,8,-0.0010510102310100284,dimensionless
7,9,-0.005243743582344367,dimensionless
8,1,0.0007614389925503123,dimensionless
8,2,-0.0022573487200528916,dimensionless
8,3,-0.0031738961485869442,dimensionless
8,4,0.00046716185993003664,dimensionless
8,5,0.005139073773879579,dimensionless
8,6,-0.0028627879565418612,dimensionless
8,7,0.0012275119136182452,dimensionless
8,8,1.028344624699233,dimensionless
8,9,-0.004478547255112856,dimensionless
9,1,0.011992620204994815,dimensionless
9,2,0.016417865759588375,dimensionless
9,3,-7.916007018438194e-5,dimensionless
9,4,-0.007509494303563892,dimensionless
9,5,-0.0017140477559296607,dimensionless
9,6,-0.01168303114693065,dimensionless
9,7,0.002549216605686678,dimensionless
9,8,0.011750427051272428,dimensionless
9,9,1.0290394817300441,dimensionless
